DATE,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES,Return,MA_20,MA_50,Target
2025-07-01,3455.0,3485.0,3413.5,3462.0,3430.0,3429.7,3439.04,4592.25,3056.05,2375183,8168354151.0,125874,-0.00932986712882733,3434.9449999999997,3460.978,0
2025-07-02,3487.2,3489.9,3420.0,3429.7,3423.5,3423.3,3445.44,4592.25,3056.05,3090585,10648436048.1,111947,-0.0018660524244101806,3437.065,3463.156,0
2025-07-03,3430.0,3435.3,3397.6,3423.3,3400.0,3400.8,3414.55,4592.25,3056.05,2531870,8645207975.4,131370,-0.006572605380772978,3438.55,3462.9120000000003,1
2025-07-04,3408.0,3427.0,3390.1,3400.8,3420.0,3419.8,3413.91,4592.25,3056.05,1109320,3787117009.9,87593,0.005586920724535371,3440.3300000000004,3463.276,0
2025-07-07,3418.3,3426.1,3408.4,3419.8,3410.6,3411.7,3417.7,4592.25,3056.05,1639174,5602206127.8,73810,-0.0023685595648869073,3439.8199999999997,3462.55,0
2025-07-08,3405.0,3425.0,3393.4,3411.7,3406.0,3406.2,3407.01,4592.25,3056.05,2325242,7922116743.7,178045,-0.0016120995398188898,3436.9849999999997,3461.8039999999996,0
2025-07-09,3410.0,3414.0,3367.0,3406.2,3386.0,3383.8,3387.16,4592.25,3056.05,2034938,6892661354.3,191376,-0.006576243321002817,3432.5799999999995,3460.03,0
2025-07-10,3380.0,3399.0,3356.0,3383.8,3395.0,3382.0,3379.02,4592.25,3056.05,3035012,10255361029.9,176792,-0.0005319463325256235,3429.97,3458.5960000000005,0
2025-07-11,3299.9,3335.0,3261.1,3382.0,3264.5,3266.0,3295.45,4592.25,3056.05,7635550,25162551686.4,552284,-0.0342992312241277,3420.9849999999997,3455.022,0
2025-07-14,3266.0,3272.0,3200.0,3266.0,3227.5,3222.7,3224.72,4592.25,3056.05,3924009,12653811861.8,396894,-0.013257807715860381,3407.3050000000003,3450.39,1
2025-07-15,3206.0,3259.4,3206.0,3222.7,3252.0,3252.3,3243.32,4592.25,3056.05,2590889,8403081368.1,171257,0.009184845005740572,3394.1549999999997,3446.2360000000003,0
2025-07-16,3227.0,3244.9,3220.6,3252.3,3230.9,3233.1,3235.91,4592.25,3056.05,2540733,8221586412.6,172998,-0.005903514435937729,3383.2400000000002,3441.9960000000005,0
2025-07-17,3224.1,3242.0,3204.1,3233.1,3207.7,3209.2,3220.48,4592.25,3056.05,2947640,9492807475.5,157207,-0.007392286041260743,3372.5,3437.202,0
2025-07-18,3225.0,3228.8,3187.0,3209.2,3189.6,3189.9,3201.13,4592.25,3056.05,3432645,10988348160.4,195464,-0.006013959865386886,3360.21,3432.1939999999995,0
2025-07-21,3190.0,3197.6,3152.0,3189.9,3158.9,3158.2,3162.44,4592.25,3056.05,3844346,12157519336.9,195683,-0.009937615599235117,3348.44,3422.95,1
2025-07-22,3159.6,3180.1,3154.6,3158.2,3164.7,3159.6,3163.54,4592.25,3056.05,3198036,10117107299.1,138279,0.0004432904819200445,3336.9,3415.842,1
2025-07-23,3159.6,3182.0,3157.6,3159.6,3175.0,3179.1,3169.59,4592.25,3056.05,1922875,6094730938.8,96628,0.0061716672996581234,3323.6150000000002,3408.4500000000007,0
2025-07-24,3165.1,3173.7,3140.0,3179.1,3144.9,3148.0,3155.37,4592.25,3056.05,2934778,9260312011.3,102612,-0.009782642886351445,3308.925,3399.812,0
2025-07-25,3140.0,3156.9,3125.6,3148.0,3140.0,3135.8,3140.77,4592.25,3056.05,2568917,8068375805.9,105704,-0.0038754764930113428,3293.66,3391.302,0
2025-07-28,3110.0,3118.0,3069.9,3135.8,3085.8,3079.3,3092.56,4592.25,3056.05,3374473,10435752450.0,273133,-0.018017730722622582,3274.525,3382.5119999999997,0
2025-07-29,3060.0,3074.0,3041.2,3079.3,3057.0,3056.0,3056.04,4592.25,3041.2,4785312,14624090930.7,247039,-0.007566654759198599,3255.8399999999997,3373.6659999999997,0
2025-07-30,3060.0,3069.0,3047.2,3056.0,3052.1,3053.6,3058.58,4592.25,3041.2,2880121,8809078906.8,127490,-0.0007853403141361293,3237.3550000000005,3364.222,0
2025-07-31,3041.7,3059.8,3015.0,3053.6,3033.2,3036.8,3034.36,4592.25,3015.0,2968371,9007105954.3,199367,-0.00550170290804286,3219.1549999999997,3355.4180000000006,0
2025-08-01,3029.9,3036.8,3000.0,3036.8,3001.1,3003.0,3013.79,4592.25,3000.0,2053847,6189863144.5,154119,-0.011130136986301387,3198.3149999999996,3345.186,1
2025-08-04,3009.1,3079.4,2991.6,3003.0,3078.7,3074.4,3046.24,4592.25,2991.6,2519252,7674244863.5,154005,0.023776223776223793,3181.45,3335.928,0
2025-08-05,3074.4,3077.5,3042.0,3074.4,3060.0,3063.9,3057.96,4592.25,2991.6,1927996,5895739286.3,118848,-0.003415300546448119,3164.335,3327.232,0
2025-08-06,3063.0,3066.8,3026.0,3063.9,3031.6,3032.3,3037.1,4592.25,2991.6,1487081,4516412670.5,109992,-0.01031365253435157,3146.7599999999998,3317.9239999999995,1
2025-08-07,3016.0,3051.6,3010.9,3032.3,3049.1,3047.0,3032.09,4592.25,2991.6,2543076,7710829083.3,138156,0.004847805296309682,3130.0099999999998,3308.9019999999996,0
2025-08-08,3048.1,3059.8,3025.0,3047.0,3031.9,3036.4,3043.58,4592.25,2991.6,2762140,8406805181.0,119961,-0.0034788316376763717,3118.5299999999997,3300.362,1
2025-08-11,3036.4,3049.9,3021.3,3036.4,3042.0,3040.8,3040.5,4592.25,2991.6,1884215,5728958255.6,132617,0.0014490844421024551,3109.4350000000004,3292.1820000000002,0
